iter	Passed	Remaining
359	15452	27470
360	15496	27430
361	15526	27364
362	15549	27286
363	15573	27210
364	15593	27127
365	15697	27191
366	15738	27145
367	15765	27075
368	15790	27001
369	15812	26924
370	15860	26890
371	15949	26926
372	15979	26861
373	16007	26793
374	16033	26722
375	16054	26643
376	16106	26616
377	16199	26655
378	16226	26586
379	16250	26514
380	16270	26434
381	16376	26494
382	16415	26445
383	16440	26373
384	16463	26299
385	16484	26221
386	16579	26260
387	16630	26231
388	16660	26168
389	16686	26098
390	16708	26024
391	16737	25960
392	16846	26020
393	16882	25966
394	16909	25898
395	16934	25829
396	16957	25756
397	16979	25683
398	17071	25713
399	17118	25678
400	17145	25611
401	17171	25543
402	17192	25468
403	17226	25413
404	17332	25463
405	17386	25437
406	17430	25395
407	17477	25359
408	17543	25350
409	17583	25303
410	17611	25238
411	17633	25166
412	17652	25089
413	17759	25137
414	17790	25078
415	17816	25011
416	17904	25032
417	17992	25051
418	18025	24994
419	18094	24987
420	18142	24950
421	18170	24887
422	18194	24818
423	18216	24747
424	18264	24710
425	18341	24713
426	18375	24658
427	18399	24590
428	18421	24519
429	18442	24446
430	18460	24371
431	18539	24375
432	18638	24406
433	18664	24340
434	18684	24268
435	18713	24206
436	18818	24243
437	18865	24207
438	18890	24139
439	18912	24070
440	18932	23998
441	19012	24001
442	19070	23977
443	19101	23919
444	19127	23856
445	19150	23788
446	19250	23815
447	19303	23784
448	19330	23721
449	19352	23652
450	19374	23584
451	19403	23524
452	19511	23559
453	19549	23510
454	19575	23447
455	19600	23382
456	19622	23314
457	19664	23270
458	19758	23288
459	19793	23235
460	19820	23174
461	19843	23107
462	19866	23042
463	19964	23062
464	20009	23021
465	20039	22963
466	20063	22899
467	20086	22833
468	20104	22762
469	20147	22719
470	20221	22712
471	20264	22669
472	20293	22609
473	20315	22543
474	20335	22475
475	20376	22431
476	20464	22438
477	20509	22397
478	20534	22335
479	20557	22270
480	20577	22203
481	20625	22165
482	20694	22150
483	20730	22100
484	20753	22037
485	20777	21974
486	20800	21910
487	20866	21892
488	20898	21839
489	20937	21792
490	21005	21775
491	21041	21726
492	21069	21667
493	21094	21606
494	21116	21543
495	21191	21533
496	21259	21516
497	21296	21467
498	21320	21406
499	21344	21344
500	21365	21280
501	21463	21292
502	21528	21271
503	21555	21212
504	21578	21150
505	21600	21087
506	21705	21105
507	21748	21063
508	21783	21012
509	21807	20952
510	21850	20909
511	21909	20882
512	21942	20829
513	22032	20832
514	22079	20793
515	22106	20735
516	22129	20674
517	22150	20610
518	22169	20546
519	22239	20528
520	22319	20519
521	22346	20463
522	22370	20403
523	22390	20339
524	22410	20275
525	22502	20278
526	22554	20243
527	22584	20189
528	22609	20130
529	22650	20086
530	22752	20095
531	22784	20043
532	22813	19988
533	22833	19925
534	22853	19863
535	22959	19875
536	23007	19837
537	23036	19782
538	23060	19722
539	23082	19662
540	23176	19663
541	23217	19619
542	23245	19563
543	23268	19504
544	23292	19445
545	23311	19383
546	23418	19394
547	23445	19337
548	23468	19279
549	23508	19233
550	23604	19235
551	23633	19180
552	23659	19124
553	23680	19064
554	23722	19020
555	23814	19017
556	23839	18960
557	23860	18900
558	23881	18840
559	23968	18832
560	24002	18782
561	24026	18725
562	24047	18665
563	24130	18654
564	24186	18621
565	24217	18569
566	24241	18512
567	24263	18453
568	24369	18459
569	24398	18406
570	24421	18348
571	24442	18289
572	24522	18274
573	24572	18236
574	24603	18185
575	24625	18127
576	24644	18067
577	24694	18029
578	24785	18021
579	24820	17973
580	24847	17919
581	24893	17878
582	24966	17857
583	25028	17828
584	25111	17813
585	25137	17759
586	25162	17703
587	25186	17647
588	25286	17644
589	25325	17598
590	25348	17542
591	25368	17483
592	25400	17433
593	25495	17426
594	25532	17379
595	25560	17326
596	25585	17271
597	25608	17215
598	25710	17211
599	25751	17167
600	25780	17115
601	25803	17059
602	25848	17017
603	25938	17006
604	25964	16952
605	25991	16898
606	26065	16876
607	26125	16844
608	26150	16789
609	26200	16751
610	26246	16709
611	26270	16655
612	26379	16653
613	26413	16605
614	26438	16551
615	26462	16495
616	26488	16442
617	26590	16435
618	26624	16387
619	26652	16335
620	26676	16280
621	26696	16224
622	26750	16187
623	26834	16169
624	26867	16120
625	26895	16068
626	26919	16014
627	26942	15959
628	26998	15924
629	27045	15883
630	27097	15846
631	27182	15827
632	27210	15776
633	27233	15721
634	27266	15672
635	27370	15664
636	27402	15615
637	27427	15562
638	27447	15506
639	27521	15480
640	27585	15449
641	27612	15397
642	27636	15343
643	27656	15288
644	27714	15253
645	27790	15229
646	27821	15179
647	27841	15123
648	27918	15099
649	27989	15071
650	28020	15021
651	28046	14969
652	28089	14926
653	28177	14907
654	28215	14861
655	28243	14810
656	28266	14757
657	28287	14702
658	28306	14647
659	28406	14633
660	28447	14589
661	28477	14539
662	28503	14488
663	28617	14480
664	28651	14433
665	28678	14382
666	28773	14365
667	28822	14324
668	28851	14274
669	28874	14221
670	28907	14173
671	28980	14145
672	29027	14104
673	29055	14053
674	29080	14001
675	29103	13948
676	29201	13932
677	29238	13886
678	29261	13833
679	29281	13779
680	29328	13738
681	29417	13716
682	29451	13669
683	29478	13618
684	29503	13567
685	29523	13513
686	29648	13507
687	29678	13458
688	29702	13407
689	29724	13354
690	29815	13333
691	29872	13295
692	29900	13246
693	29978	13217
694	30049	13187
695	30080	13138
696	30106	13088
697	30130	13036
698	30150	12983
699	30220	12951
700	30304	12925
701	30353	12885
702	30407	12846
703	30442	12799
704	30487	12757
705	30569	12730
706	30598	12680
707	30621	12629
708	30644	12577
709	30677	12530
710	30783	12512
711	30815	12464
712	30844	12415
713	30867	12364
714	30888	12312
715	30947	12275
716	31023	12245
717	31051	12195
718	31076	12145
719	31143	12111
720	31212	12077
721	31244	12030
722	31271	11981
723	31295	11930
724	31314	11877
725	31364	11837
726	31448	11809
727	31477	11760
728	31526	11719
729	31594	11685
730	31628	11639
731	31652	11588
732	31672	11536
733	31747	11505
734	31816	11471
735	31850	11424
736	31879	11376
737	31899	11324
738	31933	11278
739	32025	11252
740	32060	11205
741	32086	11156
742	32109	11106
743	32129	11055
744	32237	11034
745	32278	10990
746	32305	10941
747	32328	10891
748	32350	10841
749	32371	10790
750	32408	10745
751	32493	10715
752	32524	10668
753	32587	10632
754	32632	10589
755	32675	10546
756	32695	10495
757	32786	10467
758	32843	10428
759	32877	10382
760	32902	10333
761	32925	10283
762	32970	10241
763	33067	10214
764	33099	10167
765	33126	10119
766	33149	10070
767	33169	10020
768	33221	9979
769	33305	9948
770	33336	9901
771	33362	9853
772	33384	9803
773	33521	9787
774	33554	9741
775	33582	9693
776	33605	9644
777	33625	9595
778	33693	9558
779	33766	9523
780	33798	9477
781	33822	9428
782	33844	9379
783	33867	9330
784	33935	9294
785	34003	9258
786	34033	9211
787	34062	9164
788	34085	9115
789	34107	9066
790	34205	9037
791	34257	8996
792	34284	8949
793	34307	8900
794	34327	8851
795	34368	8807
796	34462	8777
797	34486	8729
798	34583	8699
799	34639	8659
800	34668	8612
801	34694	8565
802	34717	8517
803	34772	8476
804	34861	8444
805	34891	8398
806	34934	8354
807	35027	8323
808	35054	8276
809	35133	8241
810	35201	8203
811	35234	8157
812	35260	8110
813	35283	8062
814	35324	8018
815	35422	7987
816	35451	7940
817	35501	7898
818	35550	7856
819	35649	7825
820	35678	7778
821	35700	7730
822	35720	7682
823	35752	7636
824	35839	7602
825	35888	7560
826	35919	7513
827	36024	7483
828	36061	7438
829	36085	7391
830	36105	7342
831	36129	7295
832	36227	7262
833	36261	7217
834	36288	7170
835	36311	7123
836	36386	7086
837	36447	7045
838	36473	6999
839	36494	6951
840	36580	6915
841	36636	6874
842	36669	6829
843	36695	6782
844	36717	6735
845	36736	6687
846	36765	6641
847	36864	6607
848	36906	6564
849	36932	6517
850	36975	6473
851	37068	6439
852	37097	6393
853	37121	6346
854	37167	6303
855	37222	6261
856	37333	6229
857	37357	6182
858	37378	6135
859	37400	6088
860	37515	6056
861	37574	6015
862	37605	5969
863	37715	5936
864	37769	5894
865	37793	5848
866	37897	5813
867	37934	5768
868	37958	5722
869	37979	5675
870	37996	5627
871	38097	5592
872	38145	5549
873	38173	5503
874	38197	5456
875	38220	5410
876	38240	5363
877	38343	5327
878	38389	5284
879	38417	5238
880	38439	5192
881	38476	5147
882	38546	5107
883	38587	5063
884	38615	5017
885	38636	4971
886	38667	4926
887	38767	4889
888	38809	4845
889	38836	4800
890	38860	4754
891	38883	4707
892	38916	4663
893	38999	4624
894	39043	4580
895	39073	4535
896	39097	4489
897	39174	4449
898	39236	4408
899	39269	4363
900	39308	4319
901	39382	4278
902	39423	4234
903	39453	4189
904	39481	4144
905	39592	4107
906	39627	4063
907	39652	4017
908	39673	3971
909	39764	3932
910	39819	3890
911	39848	3845
912	39873	3799
913	39897	3754
914	39947	3710
915	40037	3671
916	40062	3626
917	40082	3580
918	40148	3538
919	40216	3497
920	40244	3452
921	40268	3406
922	40350	3366
923	40408	3323
924	40439	3278
925	40464	3233
926	40486	3188
927	40508	3142
928	40569	3100
929	40648	3059
930	40679	3014
931	40705	2969
932	40727	2924
933	40750	2879
934	40778	2834
935	40860	2793
936	40903	2750
937	40935	2705
938	40959	2660
939	41003	2617
940	41074	2575
941	41109	2531
942	41135	2486
943	41159	2441
944	41216	2398
945	41293	2357
946	41318	2312
947	41340	2267
948	41371	2223
949	41478	2183
950	41512	2138
951	41545	2094
952	41571	2050
953	41591	2005
954	41691	1964
955	41736	1920
956	41767	1876
957	41792	1832
958	41842	1788
959	41909	1746
960	41940	1702
961	41964	1657
962	42047	1615
963	42103	1572
964	42149	1528
965	42175	1484
966	42227	1441
967	42320	1399
968	42351	1354
969	42377	1310
970	42399	1266
971	42472	1223
972	42513	1179
973	42532	1135
974	42573	1091
975	42669	1049
976	42699	1005
977	42724	961
978	42748	916
979	42799	873
980	42881	830
981	42906	786
982	42929	742
983	43019	699
984	43074	655
985	43107	612
986	43132	568
987	43154	524
988	43177	480
989	43206	436
990	43253	392
991	43286	349
992	43379	305
993	43434	262
994	43464	218
995	43491	174
996	43513	130
997	43533	87
998	43619	43
999	43680	0
