iter	Logloss
0	0.6360827252
1	0.5942777702
2	0.5592636559
3	0.5337417271
4	0.5147950891
5	0.4999258936
6	0.4879025586
7	0.478387559
8	0.4711809955
9	0.4641183142
10	0.458470022
11	0.4536528498
12	0.4491491759
13	0.4455234169
14	0.4424411547
15	0.4394774685
16	0.4371075357
17	0.4347403628
18	0.4327362754
19	0.430882748
20	0.4291548624
21	0.4277989166
22	0.426011194
23	0.4246713741
24	0.4233884485
25	0.4219101927
26	0.4205897604
27	0.4192067466
28	0.4177944178
29	0.4169729329
30	0.416248139
31	0.4151302401
32	0.4137482417
33	0.4127927177
34	0.4119487277
35	0.4111061584
36	0.4105301338
37	0.4097229556
38	0.4090835407
39	0.4082664023
40	0.4072967668
41	0.4065397507
42	0.4059946318
43	0.4053796744
44	0.4044827867
45	0.4038260127
46	0.4025602887
47	0.4016734445
48	0.4007347965
49	0.4001309654
50	0.3996778076
51	0.3986463244
52	0.3981769709
53	0.3976723942
54	0.3971812345
55	0.3965629373
56	0.3957801908
57	0.3950983192
58	0.3945128341
59	0.3938135422
60	0.3933337658
61	0.3928062774
62	0.3922414291
63	0.391570673
64	0.391022799
65	0.3902263111
66	0.3891369476
67	0.38863341
68	0.3880435396
69	0.3873653235
70	0.3863799991
71	0.3858568625
72	0.3853804433
73	0.3849518862
74	0.3844869655
75	0.3841276444
76	0.3836869412
77	0.3833690119
78	0.3826371219
79	0.3819234962
80	0.3813423091
81	0.3808599388
82	0.3804085613
83	0.3800023401
84	0.3795373288
85	0.3788669561
86	0.3784790216
87	0.3779479175
88	0.3776548215
89	0.3768090336
90	0.3763450793
91	0.3759067046
92	0.3753180501
93	0.374895095
94	0.3745564199
95	0.3741727892
96	0.3738503176
97	0.3734345477
98	0.3731347116
99	0.3728159463
100	0.372493267
101	0.3721893236
102	0.371740052
103	0.3714609832
104	0.3708845151
105	0.370560757
106	0.3701696904
107	0.3700113512
108	0.3695684079
109	0.369151192
110	0.3687233626
111	0.3682990963
112	0.3679279498
113	0.3674840088
114	0.3670402729
115	0.3666014996
116	0.3661783979
117	0.3658809959
118	0.365239504
119	0.3649037659
120	0.3644983074
121	0.3641365734
122	0.3637584737
123	0.3633839855
124	0.3631303585
125	0.3628512697
126	0.3625976992
127	0.3622861151
128	0.3618815387
129	0.361544912
130	0.3609627039
131	0.360262395
132	0.3599732023
133	0.3596337573
134	0.3592603501
135	0.3589555301
136	0.3586436565
137	0.3583535186
138	0.358082012
139	0.3576992466
140	0.3573995131
141	0.357088162
142	0.3566579552
143	0.3560769403
144	0.3558082541
145	0.3555714975
146	0.3552333293
147	0.3548517109
148	0.3545684092
149	0.3542194949
150	0.3538901818
151	0.3536147163
152	0.3532016068
153	0.3528975975
154	0.3526582683
155	0.3524273153
156	0.3521045427
157	0.3514268624
158	0.3510383204
159	0.3507245918
160	0.3504003244
161	0.3501365161
162	0.3496808345
163	0.3491401914
164	0.3489254616
165	0.3486253103
166	0.3481536607
167	0.3478658406
168	0.3476121043
169	0.3471571427
170	0.3467913148
171	0.346490577
172	0.3460154953
173	0.3456541461
174	0.3453546594
175	0.345110651
176	0.3448459716
177	0.3445228317
178	0.3442121401
179	0.3439163517
180	0.3435604653
181	0.3432926771
182	0.3431111405
183	0.3427157002
184	0.3425632091
185	0.3422794696
186	0.3419406026
187	0.3414989107
188	0.3412705426
189	0.3410187804
190	0.3406973488
191	0.3404653597
192	0.3400389248
193	0.3397075293
194	0.3394011555
195	0.3390547887
196	0.3387366469
197	0.3385613644
198	0.3383097179
199	0.3381082367
200	0.3378740667
201	0.337580733
202	0.3373322232
203	0.3369237505
204	0.3367366707
205	0.3365149185
206	0.3363239977
207	0.3359910401
208	0.3357363512
209	0.3354686243
210	0.3353233124
211	0.3351147049
212	0.3348875038
213	0.3345640457
214	0.3342941512
215	0.3339867483
216	0.3337360888
217	0.3335654504
218	0.3332945655
219	0.3330876217
220	0.3328435537
221	0.3326079727
222	0.332436791
223	0.3322558011
224	0.3320011448
225	0.3317992346
226	0.3315424261
227	0.3312335904
228	0.3310272768
229	0.3307437893
230	0.330374843
231	0.3301403269
232	0.3299471606
233	0.329801641
234	0.3296178837
235	0.3293282985
236	0.3291065561
237	0.3289270421
238	0.328503522
239	0.3283092739
240	0.3280659394
241	0.3278153261
242	0.3274462276
243	0.3271641675
